cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i&o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,ssv2_execution_time,kinetics_execution_time
F07,8,Seq1,Seq1_08DPH_F07,500,2501,150040,,456,1741,230,0,264,0,20.3,97,8.24,,,,,0,0,0,0,0,15,0,0,0,139,1511,154,0.896774194,5.002666667,150080,FALSE,0.095238095,0.300792604,1,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,157,41,63.35086667,1761.8616,3247.728617
F07,9,Seq1,Seq1_09DPH_F07,500,2501,150040,,468,582,22,0,290,0,20.3,96,8.22,,0.012226687,0.006147398,0.013727149,0,0,0,0,0,18,0,0,0,0,560,18,0,5.002666667,150080,FALSE,0.190476191,0.511766316,2,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,37,41,45.71323333,1109.325071,1933.721683
F07,10,Seq1,Seq1_10DPH_F07,500,2501,150040,,150,157,4,0,253,0,20.3,113,8.22,,0.035032637,0.074979034,0.08275939,0,0,0,0,0,0,0,0,0,0,153,0,,5.002666667,150080,FALSE,0.095238095,0.300792604,1,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,8,41,49.58413333,489.2433858,1463.028359
F07,11,Seq1,Seq1_11DPH_F07,500,2501,150040,,645,849,31,0,250,0,20.4,97,8.22,,0.01133202,0.005885158,0.012769088,0,0,0,0,0,15,0,0,0,0,818,15,0,5.002666667,150080,FALSE,0.333333333,0.577350269,2,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,31,41,29.29756667,1560.292524,2364.229593
F07,11,Seq2,Seq2_11DPH_F07,500,2501,150040,,681,924,37,0,250,0,20.4,97,8.22,,0.01133202,0.005885158,0.012769088,0,1,0,0,0,19,1,0,0,0,887,20,0,5.002666667,150080,FALSE,0.238095238,0.538958431,2,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,36,41,20.20586667,1650.261972,2380.306662
F07,12,Seq1,Seq1_12DPH_F07,500,2501,150040,,1058,2249,202,0,304,0,20.3,93,8.24,,0.012387192,0.006577797,0.014025326,1,0,0,0,0,56,3,0,1,5,2047,65,0.068493151,5.002666667,150080,FALSE,1.238095238,3.048028246,14,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,76,41,71.78346667,2874.777758,3474.360861
F08,10,Seq1,Seq1_10DPH_F08,500,2501,150040,,1598,2568,131,0,256,0,20.8,109,8.15,,,,,1,1,0,0,0,24,2,0,0,0,2437,26,0,5.002666667,150080,FALSE,0.857142857,0.963624112,3,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,31,61,55.41283333,3936.629341,6210.050707
F08,12,Seq1,Seq1_12DPH_F08,290,1451,87040,,449,1140,72,0,206,0,20.9,117,8.14,,0.003914253,0.002189485,0.004478708,0,0,0,0,0,0,0,0,0,3,1068,3,1,5.004597701,87080,FALSE,0.857142857,1.824437291,8,87080,Dec-20,400,0,0,0,0,0,0,0,0,0,5,61,30.19229885,1285.490898,5371.726497
F08,15,Seq1,Seq1_15DPH_F08,500,2501,150040,,575,703,28,0,246,2.9,20.7,114,8.1,,0.010634927,0.005214231,0.011844398,0,0,0,0,0,9,0,0,0,10,675,19,0.5,5.002666667,150080,FALSE,0.190476191,0.402373908,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,84,61,10.9394,1261.121562,2048.862894
F08,15,Seq2,Seq2_15DPH_F08,500,2501,150040,,523,644,37,0,246,2.9,20.7,114,8.1,,0.010634927,0.005214231,0.011844398,0,0,0,0,0,6,1,0,0,23,607,30,0.741935484,5.002666667,150080,FALSE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,82,61,5.740566667,2287.406604,1979.766002
F08,15,Seq3,Seq3_15DPH_F08,500,2501,150040,,612,717,26,0,246,2.9,20.7,114,8.1,,0.010634927,0.005214231,0.011844398,0,0,0,0,0,8,0,0,0,20,691,28,0.714285714,5.002666667,150080,FALSE,0.238095238,0.538958431,2,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,68,61,32.28923333,1348.443659,2129.74625
F08,17,Seq1,Seq1_17DPH_F08,500,2501,150040,,219,259,14,0,289,11.7,21.3,88,8.04,,0.017159673,0.026772765,0.033360917,0,0,0,0,0,0,0,0,0,0,245,0,,5.002666667,150080,FALSE,0.095238095,0.300792604,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,1,61,24.8806,624.9819844,11435.73814
F08,17,Seq2,Seq2_17DPH_F08,500,2501,150040,,452,539,32,0,289,11.7,21.3,88,8.04,,0.017159673,0.026772765,0.033360917,0,0,0,0,0,1,0,0,0,0,507,1,0,5.002666667,150080,FALSE,0.238095238,0.436435781,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,6,61,25.62963333,1075.518147,1118.630891
F08,19,Seq1,Seq1_19DPH_F08,500,2501,150040,,374,435,42,0,320,15,21.4,89,8.7,,,,,0,0,0,0,0,1,0,0,0,0,393,1,0,5.002666667,150080,FALSE,0.142857143,0.358568583,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,6,61,38.69486667,908.2257009,3905.758272
F08,26,Seq1,Seq1_26DPH_F08,498,2491,149440,,191,221,16,0,0,66.15,21.2,88,8.15,,0.014955677,0.007497604,0.016729797,0,0,0,0,0,3,0,0,0,0,205,3,0,5.002677376,149480,FALSE,0.095238095,0.300792604,1,149480,21-26,400,0,0,0,0,0,0,0,0,0,4,61,20.05100402,600.1354377,37453.9483
F08,26,Seq2,Seq2_26DPH_F08,500,2501,150040,,186,212,17,0,0,66.15,21.2,88,8.15,,0.014955677,0.007497604,0.016729797,0,0,0,0,0,2,0,0,0,0,195,2,0,5.002666667,150080,FALSE,0.142857143,0.358568583,1,150080,21-26,400,0,0,0,0,0,0,0,0,0,4,61,30.4032,595.1275773,1851.870535
F08,29,Seq1,Seq1_29DPH_F08,500,2501,150040,,338,448,44,0,0,49,22.2,85,8.09,,0.01499171,0.008336449,0.017153644,2,0,0,0,0,26,1,0,1,0,404,28,0,5.002666667,150080,FALSE,0.285714286,0.783763813,3,150080,27-30,400,0,0,0,0,0,0,0,0,0,34,61,49.5347,924.8045988,15276.74031
F09,16,Seq1,Seq1_16DPH_F09,500,2501,150040,,82,86,3,0,264,6.9,20.7,110,8.12,,0.013552745,0.005957839,0.014804478,0,0,0,0,0,0,0,0,0,0,83,0,,5.002666667,150080,TRUE,0,0,0,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,0,81,20.0077,366.8144925,1269.621591
F09,16,Seq2,Seq2_16DPH_F09,500,2501,150040,,57,57,0,0,264,6.9,20.7,110,8.12,,0.013552745,0.005957839,0.014804478,0,0,0,0,0,1,0,0,0,0,57,1,0,5.002666667,150080,TRUE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,2,81,20.04473333,304.3530512,1218.242674
F10,10,Seq1,Seq1_10DPH_F10,500,2501,150040,,605,838,48,0,246,0,19.6,101,8.18,,0.013110709,0.009243809,0.016041767,0,8,0,0,0,20,9,0,0,13,790,42,0.311111111,5.002666667,150080,TRUE,0.571428571,1.325572653,6,150080,06-Nov,400,0,0,0,0,0,0,0,0,0,43,101,46.641,1690.532828,1588.869868
F10,13,Seq1,Seq1_13DPH_F10,500,2501,150040,,146,164,10,0,290,0,20.4,94,8.14,,0.01143278,0.005408884,0.0126477,1,0,0,0,0,1,1,0,0,0,154,2,0,5.002666667,150080,TRUE,0.047619048,0.21821789,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,3,101,41.6929,532.9441524,771.9262133
F10,14,Seq1,Seq1_14DPH_F10,500,2501,150040,,70,722,22,0,265,1,20.5,91,8.14,,0.011825672,0.005918072,0.01322384,0,0,0,0,0,0,41,0,0,0,700,41,1,5.002666667,150080,TRUE,0,0,0,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,42,101,49.2544,741.3638158,726.2877905
F10,15,Seq1,Seq1_15DPH_F10,500,2501,150040,,130,737,1,0,230,2.3,20.4,93,8.24,,0.070995504,0.078926906,0.109114484,0,0,0,0,0,1,1,0,0,0,54,2,0,6.949733333,208492,TRUE,0,0,0,208492,Dec-20,400,0,0,0,0,0,0,0,0,0,3,101,48.30516667,403.3790963,842.7471223
F10,16,Seq1,Seq1_16DPH_F10,500,2501,150040,,147,151,3,0,218,6,20.6,92,8.23,,0.013681715,0.009408558,0.016604514,0,0,0,0,0,0,0,0,0,0,148,0,,5.002666667,150080,TRUE,0.095238095,0.300792604,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,6,101,15.0016,543.8730562,709.7011151
F10,16,Seq2,Seq2_16DPH_F10,500,2501,150040,,110,114,4,0,218,6,20.6,92,8.23,,0.013681715,0.009408558,0.016604514,0,0,0,0,0,0,0,0,0,0,110,0,,5.002666667,150080,TRUE,0.142857143,0.358568583,1,150080,Dec-20,400,0,0,0,0,0,0,0,0,0,9,101,34.2141,457.6383348,735.2348931
