,Unnamed: 0,cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i.o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,stat_strikes,sr,full_duration_frame
49,54,F18,18,Seq2,Seq2_18DPH_F18,500,2501,150040,5.001333333,1098,1632,49,0,253.0,,20.1,90.0,8.0,20.2,0.010738074,0.003848532,0.011406899,33,4,2,1,0,165,37,1,2,0,1583,205,0.0,5.00266666666667,150080,False,0.619047619,0.864649668,3,150080,15-20,400,0,0,0,0,0,0,1,1,1,219,51,20.0263,1,19,600789
50,55,F17,13,Seq2,Seq2_13DPH_F17,500,2501,150040,5.001333333,1694,2652,113,0,195.0,0.0,19.0,108.0,8.13,18.9,,,,15,2,6,1,0,85,34,0,1,0,2539,120,0.0,5.00266666666667,150080,False,0.952380952,0.973457265,3,150080,08-14,400,0,0,0,0,0,0,0,0,0,160,41,20.00966667,0,0,600290
51,56,F18,16,Seq1,Seq1_16DPH_F18,500,2501,150040,5.001333333,2486,8439,1526,54000,260.0,8.4,19.7,93.0,8.13,19.6,,,,25,3,2,1,0,47,47,0,3,0,7810,97,0.0,5.00466666666667,150140,False,3.6875,2.868652413,11,204140,15-20,400,0,0,0,0,0,0,0,0,0,178,51,20.59006667,0,0,617702
52,57,F17,18,Seq2,Seq2_18DPH_F17,500,2501,150040,5.001333333,2500,10347,963,0,260.0,0.0,20.0,85.0,7.88,19.9,0.018095824,0.039435647,0.043389164,305,27,7,0,0,137,332,0,30,1,5287,500,0.002,2.97066666666667,89120,False,3.523809524,1.030487633,5,89120,15-20,400,0,0,0,0,0,0,0,0,0,647,41,15.0065,0,0,450195
53,58,F17,20,Seq1,Seq1_20DPH_F17,500,2501,150040,5.001333333,1309,2047,243,0,370.0,0.0,20.0,93.0,7.99,20.1,0.016148558,0.006954664,0.017582462,177,10,1,8,0,131,212,2,7,0,1804,356,0.0,5.00266666666667,150080,False,0.523809524,0.679635757,2,150080,15-20,400,0,0,0,0,2,0,0,2,2,411,41,20.1762,2,46,605286
54,59,F02,13,Seq2,Seq2_13DPH_F02,850,4251,255040,5.000784314,3308,6517,586,0,240.0,0.0,18.7,100.0,8.080340909,,,,,0,0,0,0,0,2,1,2,0,0,5931,5,0.0,5.00156862745098,255080,True,1.714285714,1.23056317,4,255080,08-14,400,0,0,0,0,0,1,1,2,2,63,41,7.013372549,2,14,357682
55,60,F16,14,Seq2,Seq2_14DPH_F16,500,2501,150040,5.001333333,1219,1904,104,0,250.0,1.1,19.0,92.0,8.28,19.3,,,,45,8,2,5,0,80,66,3,0,0,1800,149,0.0,5.00266666666667,150080,False,0.666666667,0.856348839,3,150080,08-14,400,0,0,0,0,2,0,0,2,2,191,21,21.15316667,2,36,634595
56,61,F16,16,Seq2,Seq2_16DPH_F16,500,2501,150040,5.001333333,396,478,19,0,220.0,6.9,19.8,98.0,8.13,19.7,,,,12,1,2,0,0,27,16,1,0,0,459,44,0.0,5.00266666666667,150080,False,0.285714286,0.46291005,1,150080,15-20,400,0,0,0,0,0,0,1,1,1,52,21,19.80963333,1,42,594289
57,62,F11,19,Seq1,Seq1_19DPH_F11,500,2501,150040,5.001333333,904,1225,70,0,289.0,14.85,20.7,86.0,8.080340909,,,,,16,1,0,0,0,42,17,0,2,0,1155,61,0.0,5.00266666666667,150080,True,0.428571429,0.597614305,2,150080,15-20,400,0,0,0,0,0,0,0,0,0,72,81,5.6334,0,0,169002
58,63,F02,19,Seq3,Seq3_19DPH_F02,748,3741,224440,5.000891266,1236,1535,67,0,0.0,30.0,20.2,93.0,8.080340909,,,,,16,3,1,0,0,14,20,0,0,0,1468,34,0.0,5.0017825311943,224480,True,0.476190476,0.601585208,2,224480,15-20,400,0,0,0,0,0,0,0,0,0,72,41,5.665909091,0,0,254286
59,65,F13,20,Seq1,Seq1_20DPH_F13,500,2501,150040,5.001333333,1784,3785,238,0,378.0,36.0,20.0,82.0,8.01,19.9,,,,24,1,0,1,0,431,25,0,1,1,3547,458,0.002183406,5.00266666666667,150080,True,2.047619048,1.596126263,6,150080,15-20,400,0,0,0,0,0,0,0,0,0,502,81,21.07706667,0,0,632312
60,66,F06,19,Seq1,Seq1_19DPH_F06,500,2501,150040,5.001333333,186,201,12,0,316.0,1.78,21.4,90.0,8.05,20.9,0.01354811,0.006189929,0.01489518,0,0,0,0,0,6,0,0,0,0,189,6,0.0,5.00266666666667,150080,True,0.095238095,0.300792604,1,150080,15-20,400,0,0,0,0,0,0,0,0,0,7,61,49.90773333,0,0,1497232
61,67,F06,20,Seq1,Seq1_20DPH_F06,500,2501,150040,5.001333333,1449,3496,333,0,310.0,2.5,21.3,113.0,8.16,21.1,0.0145902,0.012405382,0.019151158,2,0,0,0,0,34,2,0,0,1,3163,37,0.027027027,5.00266666666667,150080,True,0.857142857,2.151411497,10,150080,15-20,400,0,0,0,0,0,0,0,0,0,44,61,60.19616667,0,0,1805885
62,68,F06,21,Seq2,Seq2_21DPH_F06,500,2501,150040,5.001333333,2083,4725,332,0,430.0,32.4,21.3,103.0,8.11,21.1,0.011589935,0.005241815,0.012720183,2,0,0,0,0,50,2,0,0,0,4393,52,0.0,5.00266666666667,150080,True,2.142857143,1.8516402,7,150080,21-25,400,0,0,0,0,0,0,0,0,0,60,61,18.00463333,0,0,540139
